Site ID,Latitude,Longitude,Region IHS,State
IHS_ABE_001,7.13978,3.32859,Lagos,Ogun
IHS_ABE_002,7.16650,3.33967,Lagos,Ogun
IHS_ABE_003,7.18090,3.41183,Lagos,Ogun
IHS_ABE_004,7.18609,3.34841,Lagos,Ogun
IHS_ABE_005,7.14439,3.37381,Lagos,Ogun
IHS_ABE_009V,7.15166,3.33570,Lagos,Ogun
IHS_ABE_010V,7.12527,3.36729,Lagos,Ogun
IHS_ABE_012V,7.17178,3.36543,Lagos,Ogun
IHS_ABE_014V,7.12027,3.29511,Lagos,Ogun
IHS_ABE_015V,7.14367,3.30908,Lagos,Ogun
IHS_ABE_016V,7.16847,3.31806,Lagos,Ogun
IHS_ABE_017V,7.19230,3.35122,Lagos,Ogun
IHS_ABE_018V,7.13487,3.34735,Lagos,Ogun
IHS_ABE_019V,7.16148,3.37721,Lagos,Ogun
IHS_ABE_020V,7.16037,3.35580,Lagos,Ogun
IHS_ABI_016,5.29345,7.48521,Enugu,Abia
IHS_ABI_017,5.23672,7.48109,Enugu,Abia
IHS_ABI_025,5.48711,7.88698,Enugu,Abia
IHS_ABI_026,5.60487,7.46517,Enugu,Abia
IHS_ABI_027,5.35255,7.37007,Enugu,Abia
IHS_ABI_030,5.23329,7.39332,Enugu,Abia
IHS_ABI_031,5.27387,7.46031,Enugu,Abia
IHS_ABJ_005,9.14942,7.34857,Abuja,FCT
IHS_ABJ_034,9.14437,7.34178,Abuja,FCT
IHS_ABJ_042,9.11778,7.22785,Abuja,FCT
IHS_ABJ_044,9.18038,7.22189,Abuja,Niger
IHS_ABJ_045,9.24420,7.28336,Abuja,FCT
IHS_ABJ_047,9.26825,7.37701,Abuja,FCT
IHS_ABJ_049,9.25734,7.18314,Abuja,Niger
IHS_ABJ_050,9.14671,7.36306,Abuja,FCT
IHS_ABJ_053,9.14234,7.32471,Abuja,FCT
IHS_ABJ_062V,9.13879,7.35413,Abuja,FCT
IHS_ABJ_067V,9.18271,7.18646,Abuja,Niger
IHS_ABJ_068V,9.10321,7.21718,Abuja,FCT
IHS_ABJ_069V,9.15038,7.34364,Abuja,FCT
IHS_AWK_001,6.20832,7.07050,Asaba,Anambra
IHS_AWK_002,6.23036,7.09752,Asaba,Anambra
IHS_AWK_003,6.25982,7.10949,Asaba,Anambra
IHS_AWK_004,6.24401,7.09254,Asaba,Anambra
IHS_AWK_005,6.23041,7.07366,Asaba,Anambra
IHS_AWK_006,6.30649,6.96383,Asaba,Anambra
IHS_AWK_007,6.35328,6.91805,Asaba,Anambra
IHS_AWK_010V,6.22690,7.08505,Asaba,Anambra
IHS_AWK_011V,6.21116,7.06484,Asaba,Anambra
IHS_BAD_001,9.62067,7.45853,Abuja,Kaduna
IHS_BAU_020,10.48256,8.94230,Abuja,Bauchi
IHS_BAU_028,10.06732,9.13260,Abuja,Bauchi
IHS_EBC_001,5.47560,6.72244,Enugu,Rivers
IHS_EBC_002,5.50705,6.74408,Enugu,Imo
IHS_EBC_003,5.46307,6.69993,Enugu,Rivers
IHS_EBO_008,5.77246,7.76272,Enugu,Abia
IHS_EKW_001,6.05645,7.12914,Asaba,Anambra
IHS_IFO_001,6.82442,3.19773,Lagos,Ogun
IHS_IFU_001,6.60406,6.94888,Asaba,Anambra
IHS_IHL_001,5.85304,6.89530,Asaba,Anambra
IHS_IJB_002,7.16141,3.31144,Lagos,Ogun
IHS_IMO_001,5.50315,6.99759,Enugu,Imo
IHS_IMO_002,5.51942,7.05046,Enugu,Imo
IHS_IMO_003,5.49284,7.06520,Enugu,Imo
IHS_IMO_004,5.47859,7.04581,Enugu,Imo
IHS_IMO_005,5.46355,7.01909,Enugu,Imo
IHS_IMO_006,5.53512,7.04067,Enugu,Imo
IHS_IMO_007,5.44840,7.05912,Enugu,Imo
IHS_IMO_008,5.52417,7.07285,Enugu,Imo
IHS_IMO_009,5.54714,7.01851,Enugu,Imo
IHS_IMO_010,5.72050,7.09683,Enugu,Imo
IHS_IMO_011,5.49031,7.04329,Enugu,Imo
IHS_IMO_012,5.58112,7.09896,Enugu,Imo
IHS_IMO_013,5.46789,7.00527,Enugu,Imo
IHS_IMO_014,5.55726,6.88986,Enugu,Imo
IHS_IMO_015V,5.47680,7.01321,Enugu,Imo
IHS_IMO_016V,5.50737,7.02385,Enugu,Imo
IHS_IMO_017V,5.42319,7.09016,Enugu,Imo
IHS_IMO_018V,5.41778,7.01170,Enugu,Imo
IHS_IMO_021,5.42189,6.92537,Enugu,Imo
IHS_IMO_022,5.47618,7.30005,Enugu,Imo
IHS_IMO_023,5.72021,6.92334,Enugu,Imo
IHS_IMO_024,5.72376,7.15657,Enugu,Imo
IHS_IMO_025,5.77063,6.89854,Asaba,Anambra
IHS_IMO_026,5.73898,7.07884,Enugu,Imo
IHS_IMO_027,5.87191,6.95559,Enugu,Imo
IHS_IMO_028,5.71492,6.86566,Enugu,Imo
IHS_IMO_029,5.36353,6.76931,Enugu,Imo
IHS_IMO_030,5.73735,7.22121,Enugu,Imo
IHS_IMO_031,5.61967,6.74658,Enugu,Imo
IHS_IMO_032,5.55093,7.19034,Enugu,Imo
IHS_IMO_033,5.41106,6.87704,Enugu,Imo
IHS_IMO_034,5.73680,7.28258,Enugu,Imo
IHS_IMO_035,5.69720,6.91066,Enugu,Imo
IHS_IMO_036,5.74484,6.88247,Enugu,Imo
IHS_IMO_037,5.90185,7.06938,Asaba,Imo
IHS_IMO_038,5.82465,7.24813,Enugu,Imo
IHS_IMO_039,5.83330,7.15819,Enugu,Imo
IHS_IMO_040,5.63255,7.31685,Enugu,Imo
IHS_IMO_041,5.69175,7.35056,Enugu,Imo
IHS_IMO_042,5.78910,7.20438,Enugu,Imo
IHS_IMO_043,5.65770,6.92705,Enugu,Imo
IHS_IMO_044,5.64488,6.95154,Enugu,Imo
IHS_IMO_045,5.43092,7.01516,Enugu,Imo
IHS_IMO_046,5.54099,7.07052,Enugu,Imo
IHS_IMO_047,5.36641,7.12515,Enugu,Imo
IHS_IMO_048,5.47405,7.07286,Enugu,Imo
IHS_IMO_049,5.36295,7.00437,Enugu,Imo
IHS_IMO_050,5.35923,6.95321,Enugu,Imo
IHS_IMO_052,5.34155,7.08720,Enugu,Imo
IHS_JAJ_001,10.82194,7.57475,Abuja,Kaduna
IHS_KAD_001,10.53017,7.40067,Abuja,Kaduna
IHS_KAD_002,10.47529,7.44347,Abuja,Kaduna
IHS_KAD_003,10.55885,7.44626,Abuja,Kaduna
IHS_KAD_004,10.46951,7.41292,Abuja,Kaduna
IHS_KAD_005,10.42635,7.41728,Abuja,Kaduna
IHS_KAD_006,10.47086,7.49147,Abuja,Kaduna
IHS_KAD_007,10.59800,7.48831,Abuja,Kaduna
IHS_KAD_008,10.47728,7.45363,Abuja,Kaduna
IHS_KAD_009,10.52825,7.49242,Abuja,Kaduna
IHS_KAD_010,10.25385,7.22939,Abuja,Kaduna
IHS_KAD_013V,10.47488,7.41979,Abuja,Kaduna
IHS_KAD_015V,10.57833,7.43550,Abuja,Kaduna
IHS_KAD_016V,10.55899,7.47271,Abuja,Kaduna
IHS_KAD_017V,10.52371,7.40274,Abuja,Kaduna
IHS_KAD_018V,10.50033,7.43761,Abuja,Kaduna
IHS_KAD_020V,10.52720,7.42670,Abuja,Kaduna
IHS_KAD_025V,10.52990,7.38395,Abuja,Kaduna
IHS_KAD_026V,10.55574,7.44230,Abuja,Kaduna
IHS_KAD_027V,10.55977,7.45650,Abuja,Kaduna
IHS_KAD_028V,10.56676,7.41646,Abuja,Kaduna
IHS_KAD_029V,10.47675,7.44705,Abuja,Kaduna
IHS_KAD_030V,10.42931,7.40133,Abuja,Kaduna
IHS_KAD_031V,10.44898,7.47991,Abuja,Kaduna
IHS_KAD_032V,10.48299,7.37693,Abuja,Kaduna
IHS_KAD_033V,10.59323,7.40482,Abuja,Kaduna
IHS_KAD_038,10.43097,7.45675,Abuja,Kaduna
IHS_KAD_039,10.65269,7.45048,Abuja,Kaduna
IHS_KAD_040,9.42113,7.35321,Abuja,Kaduna
IHS_KAF_001,9.57888,8.22772,Abuja,Kaduna
IHS_KAF_002,9.16702,8.61336,Abuja,Kaduna
IHS_KAF_003,9.58922,8.36873,Abuja,Kaduna
IHS_KAF_004,9.73438,7.96343,Abuja,Kaduna
IHS_LAG_019,6.77486,3.28391,Lagos,Ogun
IHS_LAG_035,6.73441,3.23742,Lagos,Ogun
IHS_LAG_040,6.70973,3.27513,Lagos,Ogun
IHS_LAG_041,6.74454,3.20581,Lagos,Ogun
IHS_LAG_069,6.68217,3.26718,Lagos,Lagos
IHS_LAG_073,6.73365,3.27617,Lagos,Ogun
IHS_LAG_086V,6.65582,3.25727,Lagos,Lagos
IHS_LAG_093V,6.65010,3.30432,Lagos,Lagos
IHS_LAG_099V,6.64631,3.27424,Lagos,Lagos
IHS_LAG_106V,6.66763,3.35275,Lagos,Lagos
IHS_LAG_107V,6.69350,3.28039,Lagos,Lagos
IHS_LAG_109V,6.67469,3.30215,Lagos,Lagos
IHS_LAG_110V,6.68182,3.26760,Lagos,Lagos
IHS_LAG_127V,6.70271,3.23820,Lagos,Ogun
IHS_LAG_128V,6.67553,3.24024,Lagos,Lagos
IHS_LAG_129V,6.65705,3.28952,Lagos,Lagos
IHS_LAG_137V,6.68121,3.37075,Lagos,Ogun
IHS_LAG_138V,6.69718,3.33630,Lagos,Ogun
IHS_LAG_162V,6.68323,3.21762,Lagos,Ogun
IHS_LAG_163V,6.68298,3.16797,Lagos,Ogun
IHS_LAG_164V,6.66312,3.09633,Lagos,Ogun
IHS_LAG_165V,6.64077,3.04688,Lagos,Ogun
IHS_LAG_166V,6.61120,3.00088,Lagos,Ogun
IHS_LAG_167V,6.59238,2.94400,Lagos,Ogun
IHS_LAG_168V,6.53776,2.90175,Lagos,Ogun
IHS_LAG_169V,6.53776,2.83451,Lagos,Ogun
IHS_LAG_170V,6.50590,2.71966,Lagos,Ogun
IHS_LAG_171V,6.67916,3.03622,Lagos,Ogun
IHS_LAG_172V,6.69163,2.98475,Lagos,Ogun
IHS_LAG_173V,6.70400,2.90402,Lagos,Ogun
IHS_LAG_174V,6.68694,2.83408,Lagos,Ogun
IHS_LAG_175V,6.63842,2.74296,Lagos,Ogun
IHS_LAG_176V,6.55277,3.03631,Lagos,Ogun
IHS_LAG_177V,6.60376,3.16220,Lagos,Ogun
IHS_NNE_001,5.96771,6.87821,Asaba,Anambra
IHS_NNE_002,6.06743,6.97879,Asaba,Anambra
IHS_NNE_003,5.92491,6.94120,Asaba,Anambra
IHS_NNE_004,6.03890,7.02098,Asaba,Anambra
IHS_NNE_005V,6.00649,6.90919,Asaba,Anambra
IHS_OGU_001,6.68370,3.21156,Lagos,Ogun
IHS_OKI_002,5.91382,7.41043,Enugu,Abia
IHS_OKP_001,5.99058,7.15071,Asaba,Anambra
IHS_OKP_002,6.01211,7.15409,Asaba,Anambra
IHS_OKP_003,5.91233,7.11171,Asaba,Imo
IHS_OKP_004,5.93161,7.07221,Asaba,Anambra
IHS_OKP_005,5.95325,7.10170,Asaba,Anambra
IHS_OKP_006,5.97145,7.14735,Asaba,Anambra
IHS_ONT_001,6.15359,6.79165,Asaba,Anambra
IHS_ONT_002,6.18132,6.79370,Asaba,Anambra
IHS_ONT_003,6.13009,6.76845,Asaba,Anambra
IHS_ONT_004,6.14802,6.82686,Asaba,Anambra
IHS_ONT_005,6.16624,6.84190,Asaba,Anambra
IHS_ONT_006,6.14684,6.89005,Asaba,Anambra
IHS_ONT_007,6.12488,6.89309,Asaba,Anambra
IHS_ONT_008,6.19386,6.91782,Asaba,Anambra
IHS_ONT_009,6.11370,6.78290,Asaba,Anambra
IHS_ONT_010V,6.14416,6.81880,Asaba,Anambra
IHS_ONT_011,6.15572,6.78319,Asaba,Anambra
IHS_ONT_014V,6.15046,6.77496,Asaba,Anambra
IHS_ONT_016,6.10219,6.92735,Asaba,Anambra
IHS_ONT_017,5.87113,6.85388,Asaba,Anambra
IHS_OVI_001,5.73635,7.50198,Enugu,Abia
IHS_PHC_018,5.17772,6.86178,Enugu,Rivers
IHS_PLA_001,9.95462,8.88090,Abuja,Plateau
IHS_PLA_002,9.94285,8.89385,Abuja,Plateau
IHS_PLA_003,9.91593,8.89295,Abuja,Plateau
IHS_PLA_004,9.87375,8.89064,Abuja,Plateau
IHS_PLA_005,9.78995,8.86267,Abuja,Plateau
IHS_PLA_006,9.93186,8.87918,Abuja,Plateau
IHS_PLA_007,9.90015,8.86752,Abuja,Plateau
IHS_PLA_008,9.81833,8.86515,Abuja,Plateau
IHS_PLA_009,9.91204,8.90984,Abuja,Plateau
IHS_PLA_010,9.88736,8.87117,Abuja,Plateau
IHS_PLA_011,9.93261,8.92099,Abuja,Plateau
IHS_PLA_012,9.94980,8.88660,Abuja,Plateau
IHS_PLA_014,9.88862,8.94549,Abuja,Plateau
IHS_PLA_015V,9.88459,8.87765,Abuja,Plateau
IHS_PLA_016V,9.94394,8.87968,Abuja,Plateau
IHS_PLA_018V,9.79026,8.86295,Abuja,Plateau
IHS_PLA_019V,9.84650,8.86635,Abuja,Plateau
IHS_PLA_022V,9.93406,8.86095,Abuja,Plateau
IHS_PLA_023V,9.86274,8.86054,Abuja,Plateau
IHS_PLA_028V,9.95065,8.90407,Abuja,Plateau
IHS_PLA_029V,9.95099,8.86791,Abuja,Plateau
IHS_PLA_032,9.92210,8.85926,Abuja,Plateau
IHS_PLA_036,9.88472,8.99283,Abuja,Plateau
IHS_PLA_037,9.74334,8.85781,Abuja,Plateau
IHS_PLA_038,9.81171,8.65603,Abuja,Plateau
IHS_PLA_039,9.96494,8.87066,Abuja,Plateau
